  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 335 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.500  -0.5189   0.08138   0.07990  -0.0138   1.0000   0.0078
  -9.250  -0.5376   0.07518   0.07367  -0.0181   1.0000   0.0077
  -9.000  -0.5562   0.07058   0.06902  -0.0187   1.0000   0.0078
  -8.750  -0.5741   0.06692   0.06531  -0.0170   1.0000   0.0078
  -8.500  -0.5917   0.06371   0.06203  -0.0136   1.0000   0.0077
  -8.250  -0.5829   0.05859   0.05659  -0.0161   0.8825   0.0079
  -8.000  -0.5914   0.05586   0.05347  -0.0122   0.8038   0.0080
  -7.750  -0.5952   0.05263   0.04998  -0.0090   0.7687   0.0081
  -7.500  -0.5951   0.04937   0.04649  -0.0059   0.7423   0.0083
  -7.250  -0.5925   0.04610   0.04298  -0.0029   0.7211   0.0084
  -5.250  -0.5046   0.01782   0.01168   0.0231   0.6066   0.0073
  -4.750  -0.4499   0.01428   0.00771   0.0241   0.5813   0.0059
  -4.500  -0.4244   0.01334   0.00663   0.0248   0.5688   0.0059
  -4.250  -0.4000   0.01268   0.00585   0.0257   0.5569   0.0059
  -3.750  -0.3521   0.01172   0.00471   0.0275   0.5349   0.0063
  -3.500  -0.3278   0.01137   0.00429   0.0284   0.5248   0.0068
  -3.250  -0.3047   0.01092   0.00376   0.0294   0.5144   0.0077
  -3.000  -0.2799   0.01067   0.00348   0.0301   0.5044   0.0083
  -2.750  -0.2548   0.01048   0.00323   0.0308   0.4948   0.0092
  -2.500  -0.2305   0.01019   0.00289   0.0316   0.4857   0.0103
  -2.250  -0.2053   0.01002   0.00268   0.0323   0.4772   0.0120
  -2.000  -0.1812   0.00977   0.00243   0.0331   0.4683   0.0215
  -1.750  -0.1588   0.00937   0.00224   0.0342   0.4606   0.0735
  -1.500  -0.1370   0.00900   0.00210   0.0354   0.4527   0.1480
  -1.250  -0.1251   0.00803   0.00188   0.0383   0.4466   0.3614
  -1.000  -0.1283   0.00673   0.00158   0.0444   0.4413   0.6334
  -0.750  -0.1293   0.00600   0.00174   0.0511   0.4356   0.8655
  -0.500  -0.1054   0.00633   0.00206   0.0526   0.4290   0.8952
  -0.250  -0.0751   0.00688   0.00258   0.0528   0.4218   0.9098
   0.000  -0.0407   0.00736   0.00301   0.0520   0.4153   0.9171
   0.250   0.0019   0.00790   0.00348   0.0494   0.4078   0.9210
   0.500   0.0376   0.00833   0.00384   0.0481   0.4011   0.9261
   0.750   0.0775   0.00873   0.00418   0.0460   0.3952   0.9302
   1.000   0.1157   0.00891   0.00428   0.0438   0.3888   0.9308
   1.250   0.1485   0.00894   0.00427   0.0428   0.3835   0.9313
   1.500   0.1812   0.00898   0.00427   0.0417   0.3781   0.9318
   1.750   0.2131   0.00905   0.00427   0.0407   0.3727   0.9323
   2.000   0.2453   0.00908   0.00428   0.0397   0.3686   0.9329
   2.250   0.2766   0.00912   0.00428   0.0390   0.3636   0.9335
