  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 78-PK-188/20                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -0.7450   0.10205   0.09868  -0.0882   0.7917   0.0077
 -19.500  -0.7707   0.09336   0.08985  -0.0931   0.7908   0.0076
 -19.250  -0.8014   0.08420   0.08051  -0.0983   0.7899   0.0076
 -19.000  -0.8010   0.08040   0.07663  -0.1006   0.7882   0.0074
 -18.750  -0.8343   0.07166   0.06775  -0.1053   0.7871   0.0078
 -18.500  -0.8500   0.06602   0.06195  -0.1080   0.7855   0.0077
 -18.250  -0.8602   0.06144   0.05724  -0.1101   0.7838   0.0078
 -18.000  -0.8669   0.05754   0.05320  -0.1116   0.7820   0.0077
 -17.750  -0.8778   0.05340   0.04893  -0.1129   0.7802   0.0078
 -17.500  -0.8823   0.05018   0.04561  -0.1137   0.7781   0.0081
 -17.250  -0.8752   0.04829   0.04366  -0.1143   0.7760   0.0083
 -17.000  -0.8806   0.04524   0.04050  -0.1145   0.7746   0.0083
 -16.750  -0.8833   0.04261   0.03776  -0.1145   0.7730   0.0083
 -16.500  -0.8779   0.04082   0.03589  -0.1144   0.7714   0.0085
 -16.250  -0.8707   0.03924   0.03426  -0.1143   0.7698   0.0088
 -16.000  -0.8672   0.03742   0.03234  -0.1138   0.7682   0.0089
 -15.750  -0.8589   0.03606   0.03090  -0.1135   0.7667   0.0092
 -15.500  -0.8548   0.03441   0.02915  -0.1127   0.7650   0.0093
 -15.250  -0.8485   0.03299   0.02763  -0.1120   0.7633   0.0093
 -15.000  -0.8354   0.03211   0.02666  -0.1116   0.7614   0.0097
 -14.750  -0.8298   0.03068   0.02515  -0.1106   0.7604   0.0099
 -14.500  -0.8270   0.02913   0.02353  -0.1093   0.7593   0.0103
 -14.250  -0.8187   0.02797   0.02233  -0.1083   0.7580   0.0107
 -14.000  -0.8105   0.02685   0.02114  -0.1071   0.7567   0.0108
 -13.750  -0.7947   0.02623   0.02050  -0.1066   0.7553   0.0113
 -13.500  -0.7793   0.02561   0.01984  -0.1060   0.7540   0.0118
 -13.250  -0.7678   0.02473   0.01890  -0.1049   0.7525   0.0121
 -13.000  -0.7512   0.02418   0.01829  -0.1042   0.7511   0.0127
 -12.750  -0.7353   0.02362   0.01766  -0.1035   0.7498   0.0129
 -12.500  -0.7271   0.02258   0.01659  -0.1019   0.7483   0.0141
 -12.250  -0.7108   0.02207   0.01606  -0.1012   0.7466   0.0147
 -12.000  -0.6920   0.02167   0.01565  -0.1007   0.7458   0.0156
 -11.750  -0.6748   0.02117   0.01511  -0.1000   0.7449   0.0163
 -11.500  -0.6539   0.02090   0.01482  -0.0996   0.7439   0.0168
 -11.250  -0.6438   0.02001   0.01390  -0.0980   0.7428   0.0181
 -11.000  -0.6257   0.01958   0.01347  -0.0974   0.7417   0.0189
 -10.750  -0.6055   0.01929   0.01317  -0.0969   0.7406   0.0198
 -10.500  -0.5878   0.01884   0.01269  -0.0961   0.7395   0.0205
 -10.250  -0.5673   0.01855   0.01237  -0.0956   0.7384   0.0213
 -10.000  -0.5461   0.01833   0.01212  -0.0952   0.7372   0.0217
  -9.750  -0.5373   0.01739   0.01112  -0.0931   0.7360   0.0229
