  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 508 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -14.250  -0.5962   0.04211   0.03930  -0.1352   0.9480   0.0286
 -14.000  -0.5780   0.03298   0.02969  -0.1552   0.9223   0.0288
 -13.750  -0.5806   0.03009   0.02645  -0.1577   0.8810   0.0289
 -13.500  -0.5911   0.02841   0.02454  -0.1553   0.8566   0.0289
 -13.250  -0.5970   0.02727   0.02321  -0.1523   0.8407   0.0290
 -12.750  -0.6047   0.02524   0.02088  -0.1449   0.8190   0.0291
 -12.500  -0.6039   0.02457   0.02006  -0.1411   0.8105   0.0292
 -12.250  -0.6062   0.02292   0.01823  -0.1377   0.8035   0.0294
 -12.000  -0.6006   0.02160   0.01678  -0.1350   0.7968   0.0296
 -11.750  -0.5879   0.02080   0.01588  -0.1330   0.7907   0.0298
 -11.500  -0.5717   0.02014   0.01516  -0.1315   0.7859   0.0300
 -11.250  -0.5540   0.01957   0.01454  -0.1301   0.7806   0.0303
 -11.000  -0.5356   0.01904   0.01393  -0.1287   0.7753   0.0305
 -10.750  -0.5164   0.01856   0.01336  -0.1274   0.7699   0.0307
 -10.500  -0.4962   0.01802   0.01277  -0.1263   0.7655   0.0310
 -10.250  -0.4756   0.01751   0.01220  -0.1252   0.7607   0.0312
 -10.000  -0.4547   0.01703   0.01163  -0.1240   0.7559   0.0315
  -9.750  -0.4329   0.01663   0.01113  -0.1230   0.7511   0.0318
  -9.500  -0.4109   0.01611   0.01057  -0.1221   0.7471   0.0321
  -9.250  -0.3877   0.01575   0.01014  -0.1213   0.7423   0.0325
  -9.000  -0.3648   0.01536   0.00965  -0.1204   0.7373   0.0328
  -8.750  -0.3410   0.01507   0.00928  -0.1196   0.7324   0.0330
  -8.500  -0.3166   0.01474   0.00890  -0.1189   0.7283   0.0332
  -8.250  -0.2965   0.01387   0.00797  -0.1177   0.7236   0.0337
  -8.000  -0.2734   0.01345   0.00751  -0.1168   0.7188   0.0342
  -7.750  -0.2493   0.01315   0.00715  -0.1161   0.7140   0.0346
  -7.500  -0.2240   0.01286   0.00686  -0.1155   0.7099   0.0350
  -7.250  -0.1989   0.01258   0.00655  -0.1149   0.7048   0.0355
  -7.000  -0.1741   0.01233   0.00624  -0.1142   0.6997   0.0360
  -6.750  -0.1488   0.01209   0.00596  -0.1136   0.6946   0.0365
  -6.500  -0.1230   0.01185   0.00568  -0.1131   0.6897   0.0370
  -6.250  -0.0972   0.01166   0.00544  -0.1126   0.6844   0.0374
  -6.000  -0.0735   0.01131   0.00502  -0.1117   0.6789   0.0381
  -5.750  -0.0482   0.01100   0.00472  -0.1112   0.6743   0.0388
  -5.500  -0.0221   0.01082   0.00453  -0.1107   0.6689   0.0397
  -5.250   0.0037   0.01069   0.00435  -0.1102   0.6632   0.0406
  -5.000   0.0299   0.01053   0.00417  -0.1097   0.6579   0.0415
  -4.750   0.0565   0.01040   0.00400  -0.1093   0.6520   0.0422
  -4.500   0.0809   0.01013   0.00369  -0.1085   0.6459   0.0434
  -4.250   0.1068   0.00997   0.00353  -0.1080   0.6403   0.0447
  -4.000   0.1333   0.00984   0.00339  -0.1076   0.6346   0.0460
  -3.750   0.1594   0.00976   0.00326  -0.1071   0.6286   0.0473
  -3.500   0.1848   0.00958   0.00306  -0.1065   0.6229   0.0492
  -3.250   0.2111   0.00945   0.00293  -0.1060   0.6167   0.0513
  -3.000   0.2368   0.00941   0.00283  -0.1055   0.6096   0.0532
  -2.750   0.2624   0.00924   0.00268  -0.1049   0.6030   0.0566
  -2.500   0.2885   0.00917   0.00258  -0.1044   0.5965   0.0596
  -2.250   0.3134   0.00908   0.00248  -0.1037   0.5905   0.0649
  -2.000   0.3398   0.00896   0.00241  -0.1033   0.5859   0.0740
  -1.750   0.3656   0.00887   0.00238  -0.1028   0.5804   0.0910
  -1.500   0.3910   0.00886   0.00237  -0.1022   0.5743   0.1028
