  
       XFOIL         Version 6.96
  
 Calculated polar for: SIKORSKY GS-1 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -17.000  -0.8148   0.09196   0.08939  -0.0635   1.0000   0.0282
 -16.750  -0.8463   0.08311   0.08041  -0.0690   1.0000   0.0284
 -16.500  -0.8725   0.07545   0.07263  -0.0739   1.0000   0.0285
 -16.250  -0.8935   0.06896   0.06603  -0.0782   1.0000   0.0287
 -16.000  -0.9175   0.06258   0.05955  -0.0822   1.0000   0.0287
 -15.750  -0.9378   0.05679   0.05366  -0.0859   1.0000   0.0287
 -15.500  -0.9578   0.05119   0.04796  -0.0894   1.0000   0.0288
 -15.250  -0.9726   0.04616   0.04283  -0.0928   1.0000   0.0289
 -15.000  -0.9885   0.04113   0.03770  -0.0960   1.0000   0.0289
 -14.750  -1.0014   0.03635   0.03280  -0.0994   1.0000   0.0290
 -14.500  -1.0161   0.03166   0.02799  -0.1031   1.0000   0.0290
 -14.250  -1.0584   0.02922   0.02545  -0.0986   1.0000   0.0290
 -14.000  -1.0563   0.02787   0.02400  -0.0973   0.9990   0.0291
 -13.750  -1.0315   0.02550   0.02147  -0.1009   0.9958   0.0295
 -13.500  -1.0044   0.02363   0.01951  -0.1039   0.9932   0.0300
 -13.250  -0.9794   0.02247   0.01830  -0.1052   0.9896   0.0303
 -13.000  -0.9513   0.02150   0.01728  -0.1067   0.9869   0.0307
 -12.750  -0.9209   0.02070   0.01642  -0.1083   0.9848   0.0311
 -12.500  -0.8894   0.01993   0.01560  -0.1100   0.9832   0.0316
 -12.250  -0.8572   0.01915   0.01475  -0.1118   0.9819   0.0321
 -12.000  -0.8301   0.01845   0.01397  -0.1124   0.9784   0.0325
 -11.750  -0.8005   0.01778   0.01323  -0.1134   0.9753   0.0328
 -11.500  -0.7682   0.01716   0.01255  -0.1149   0.9731   0.0332
 -11.250  -0.7364   0.01652   0.01183  -0.1162   0.9706   0.0335
 -11.000  -0.7059   0.01544   0.01069  -0.1178   0.9680   0.0343
 -10.750  -0.6827   0.01487   0.01009  -0.1173   0.9609   0.0348
 -10.500  -0.6535   0.01438   0.00955  -0.1179   0.9561   0.0354
 -10.250  -0.6256   0.01397   0.00910  -0.1181   0.9505   0.0361
 -10.000  -0.6006   0.01359   0.00868  -0.1176   0.9427   0.0367
  -9.750  -0.5729   0.01321   0.00822  -0.1177   0.9365   0.0373
  -9.500  -0.5488   0.01289   0.00785  -0.1170   0.9279   0.0378
  -9.000  -0.4997   0.01198   0.00681  -0.1159   0.9111   0.0394
  -8.750  -0.4737   0.01164   0.00642  -0.1156   0.9029   0.0403
  -8.500  -0.4482   0.01136   0.00610  -0.1151   0.8935   0.0413
  -8.250  -0.4219   0.01111   0.00578  -0.1147   0.8848   0.0423
  -8.000  -0.3956   0.01091   0.00552  -0.1143   0.8750   0.0432
  -7.750  -0.3703   0.01053   0.00509  -0.1138   0.8658   0.0450
  -7.500  -0.3442   0.01029   0.00481  -0.1133   0.8557   0.0466
  -7.250  -0.3175   0.01010   0.00456  -0.1130   0.8464   0.0482
  -7.000  -0.2912   0.00988   0.00428  -0.1125   0.8363   0.0500
  -6.750  -0.2649   0.00963   0.00401  -0.1121   0.8268   0.0526
  -6.500  -0.2381   0.00949   0.00380  -0.1118   0.8169   0.0550
  -6.250  -0.2116   0.00925   0.00355  -0.1114   0.8071   0.0584
  -5.750  -0.1580   0.00891   0.00316  -0.1107   0.7868   0.0661
  -5.500  -0.1310   0.00880   0.00300  -0.1104   0.7764   0.0704
  -5.250  -0.1043   0.00862   0.00281  -0.1100   0.7653   0.0763
  -5.000  -0.0772   0.00850   0.00267  -0.1097   0.7542   0.0819
  -4.750  -0.0505   0.00839   0.00253  -0.1093   0.7426   0.0884
  -4.500  -0.0234   0.00826   0.00240  -0.1090   0.7306   0.0960
  -4.250   0.0038   0.00818   0.00229  -0.1087   0.7188   0.1033
  -4.000   0.0306   0.00810   0.00219  -0.1084   0.7065   0.1114
  -3.750   0.0578   0.00802   0.00210  -0.1081   0.6945   0.1198
  -3.500   0.0852   0.00799   0.00203  -0.1078   0.6832   0.1262
  -3.250   0.1120   0.00793   0.00196  -0.1074   0.6720   0.1353
  -3.000   0.1397   0.00789   0.00190  -0.1072   0.6617   0.1420
  -2.750   0.1668   0.00784   0.00184  -0.1069   0.6521   0.1513
  -2.500   0.1943   0.00780   0.00178  -0.1067   0.6424   0.1593
  -2.250   0.2216   0.00776   0.00174  -0.1064   0.6338   0.1688
  -2.000   0.2491   0.00771   0.00169  -0.1062   0.6252   0.1792
  -1.750   0.2763   0.00768   0.00166  -0.1059   0.6169   0.1911
  -1.500   0.3039   0.00762   0.00163  -0.1057   0.6090   0.2068
  -1.250   0.3309   0.00759   0.00162  -0.1054   0.6010   0.2261
  -1.000   0.3587   0.00751   0.00161  -0.1052   0.5938   0.2470
  -0.750   0.3858   0.00750   0.00162  -0.1049   0.5859   0.2663
  -0.500   0.4135   0.00748   0.00163  -0.1048   0.5788   0.2841
  -0.250   0.4409   0.00747   0.00164  -0.1045   0.5710   0.2999
   0.000   0.4682   0.00749   0.00165  -0.1043   0.5637   0.3148
   0.250   0.4960   0.00748   0.00167  -0.1041   0.5563   0.3301
   0.750   0.5506   0.00750   0.00173  -0.1036   0.5412   0.3609
   1.000   0.5776   0.00753   0.00177  -0.1032   0.5331   0.3763
   1.250   0.6049   0.00754   0.00181  -0.1030   0.5257   0.3941
   1.500   0.6319   0.00756   0.00185  -0.1027   0.5175   0.4135
   1.750   0.6588   0.00758   0.00191  -0.1024   0.5099   0.4348
   2.250   0.7119   0.00759   0.00204  -0.1017   0.4942   0.4966
   2.500   0.7385   0.00755   0.00211  -0.1013   0.4868   0.5400
   2.750   0.7635   0.00751   0.00221  -0.1007   0.4790   0.6076
   3.000   0.7857   0.00717   0.00233  -0.0994   0.4722   0.7654
   3.250   0.8291   0.00694   0.00250  -0.1025   0.4633   0.9835
   3.500   0.8613   0.00704   0.00258  -0.1033   0.4564   1.0000
   3.750   0.8866   0.00717   0.00267  -0.1027   0.4492   1.0000
   4.000   0.9118   0.00730   0.00276  -0.1020   0.4421   1.0000
   4.250   0.9374   0.00742   0.00286  -0.1015   0.4341   1.0000
   4.500   0.9621   0.00758   0.00296  -0.1008   0.4245   1.0000
   4.750   0.9872   0.00773   0.00307  -0.1001   0.4148   1.0000
   5.000   1.0122   0.00788   0.00319  -0.0995   0.4061   1.0000
   5.250   1.0367   0.00806   0.00332  -0.0987   0.3957   1.0000
   5.500   1.0618   0.00821   0.00345  -0.0981   0.3866   1.0000
   5.750   1.0855   0.00843   0.00361  -0.0973   0.3760   1.0000
   6.000   1.1105   0.00858   0.00374  -0.0967   0.3665   1.0000
   6.250   1.1344   0.00879   0.00391  -0.0959   0.3568   1.0000
   6.500   1.1574   0.00903   0.00409  -0.0949   0.3444   1.0000
   6.750   1.1813   0.00922   0.00426  -0.0941   0.3333   1.0000
   7.000   1.2038   0.00948   0.00446  -0.0931   0.3201   1.0000
   7.250   1.2257   0.00976   0.00468  -0.0920   0.3065   1.0000
   7.500   1.2470   0.01006   0.00492  -0.0908   0.2932   1.0000
   7.750   1.2677   0.01038   0.00518  -0.0895   0.2792   1.0000
   8.000   1.2874   0.01073   0.00546  -0.0880   0.2635   1.0000
   8.250   1.3056   0.01112   0.00577  -0.0863   0.2466   1.0000
   8.500   1.3209   0.01154   0.00610  -0.0841   0.2280   1.0000
   8.750   1.3337   0.01205   0.00650  -0.0814   0.2067   1.0000
   9.000   1.3425   0.01272   0.00702  -0.0781   0.1792   1.0000
   9.250   1.3444   0.01372   0.00777  -0.0739   0.1407   1.0000
   9.500   1.3437   0.01486   0.00868  -0.0694   0.1052   1.0000
   9.750   1.3499   0.01574   0.00945  -0.0662   0.0866   1.0000
  10.000   1.3595   0.01650   0.01015  -0.0635   0.0762   1.0000
  10.250   1.3711   0.01718   0.01081  -0.0613   0.0696   1.0000
  10.500   1.3817   0.01794   0.01155  -0.0590   0.0641   1.0000
  10.750   1.3951   0.01858   0.01221  -0.0572   0.0608   1.0000
  11.000   1.4052   0.01943   0.01305  -0.0550   0.0571   1.0000
  11.250   1.4181   0.02015   0.01380  -0.0533   0.0548   1.0000
  11.500   1.4297   0.02097   0.01464  -0.0515   0.0524   1.0000
  11.750   1.4385   0.02201   0.01568  -0.0496   0.0498   1.0000
  12.000   1.4500   0.02291   0.01662  -0.0480   0.0483   1.0000
  12.250   1.4617   0.02384   0.01759  -0.0466   0.0468   1.0000
  12.500   1.4709   0.02498   0.01875  -0.0450   0.0451   1.0000
  12.750   1.4774   0.02635   0.02014  -0.0433   0.0434   1.0000
  13.000   1.4871   0.02755   0.02139  -0.0420   0.0422   1.0000
  13.250   1.4974   0.02874   0.02263  -0.0409   0.0410   1.0000
  13.500   1.5051   0.03017   0.02409  -0.0397   0.0398   1.0000
  13.750   1.5111   0.03179   0.02574  -0.0385   0.0387   1.0000
  14.000   1.5138   0.03377   0.02777  -0.0373   0.0376   1.0000
  14.250   1.5211   0.03542   0.02948  -0.0364   0.0368   1.0000
  14.500   1.5293   0.03702   0.03114  -0.0357   0.0357   1.0000
  14.750   1.5339   0.03902   0.03319  -0.0350   0.0351   1.0000
  15.000   1.5382   0.04110   0.03532  -0.0344   0.0340   1.0000
  15.250   1.5389   0.04363   0.03789  -0.0338   0.0331   1.0000
  15.500   1.5372   0.04646   0.04078  -0.0333   0.0323   1.0000
  15.750   1.5425   0.04861   0.04300  -0.0330   0.0318   1.0000
  16.000   1.5465   0.05095   0.04541  -0.0328   0.0311   1.0000
  16.250   1.5484   0.05355   0.04809  -0.0327   0.0305   1.0000
  16.500   1.5485   0.05642   0.05101  -0.0326   0.0299   1.0000
  16.750   1.5476   0.05946   0.05411  -0.0327   0.0292   1.0000
  17.000   1.5423   0.06312   0.05783  -0.0330   0.0285   1.0000
  17.250   1.5366   0.06691   0.06169  -0.0334   0.0280   1.0000
  17.500   1.5395   0.06964   0.06451  -0.0337   0.0275   1.0000
  17.750   1.5399   0.07275   0.06769  -0.0341   0.0269   1.0000
  18.000   1.5381   0.07622   0.07124  -0.0347   0.0264   1.0000
  18.250   1.5367   0.07969   0.07476  -0.0354   0.0258   1.0000
  18.500   1.5329   0.08352   0.07866  -0.0363   0.0254   1.0000
  18.750   1.5275   0.08766   0.08286  -0.0373   0.0249   1.0000
  19.000   1.5176   0.09254   0.08781  -0.0388   0.0243   1.0000
