  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 200  12.97%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.250  -0.6279   0.06076   0.05892  -0.0668   1.0000   0.0025
 -12.000  -0.6762   0.04908   0.04698  -0.0747   1.0000   0.0024
 -11.750  -0.6951   0.04231   0.03997  -0.0799   0.9973   0.0025
 -11.250  -0.7076   0.03274   0.02983  -0.0863   0.9672   0.0025
 -11.000  -0.6834   0.02888   0.02562  -0.0925   0.9493   0.0026
 -10.750  -0.6622   0.02637   0.02277  -0.0956   0.9191   0.0027
 -10.500  -0.6646   0.02468   0.02073  -0.0922   0.8878   0.0027
 -10.000  -0.6486   0.02206   0.01764  -0.0878   0.8585   0.0028
  -9.750  -0.6368   0.02076   0.01612  -0.0860   0.8485   0.0028
  -9.500  -0.6210   0.01982   0.01501  -0.0846   0.8402   0.0029
  -9.250  -0.6051   0.01868   0.01369  -0.0833   0.8325   0.0029
  -9.000  -0.5863   0.01790   0.01277  -0.0823   0.8258   0.0029
  -8.750  -0.5673   0.01701   0.01174  -0.0812   0.8193   0.0030
  -8.500  -0.5478   0.01616   0.01074  -0.0802   0.8135   0.0030
  -8.250  -0.5266   0.01546   0.00994  -0.0795   0.8086   0.0030
  -8.000  -0.5054   0.01474   0.00909  -0.0787   0.8037   0.0031
  -7.750  -0.4828   0.01422   0.00849  -0.0781   0.7993   0.0032
  -7.500  -0.4591   0.01377   0.00797  -0.0777   0.7954   0.0033
  -7.250  -0.4351   0.01333   0.00746  -0.0773   0.7912   0.0034
  -7.000  -0.4114   0.01286   0.00691  -0.0768   0.7871   0.0034
  -6.750  -0.3872   0.01245   0.00644  -0.0764   0.7835   0.0035
  -6.500  -0.3640   0.01181   0.00571  -0.0759   0.7802   0.0036
  -6.250  -0.3400   0.01127   0.00510  -0.0755   0.7769   0.0036
  -6.000  -0.3149   0.01087   0.00464  -0.0752   0.7737   0.0037
  -5.750  -0.2895   0.01050   0.00421  -0.0749   0.7706   0.0039
  -5.500  -0.2635   0.01019   0.00385  -0.0748   0.7677   0.0041
  -5.250  -0.2369   0.00992   0.00355  -0.0747   0.7647   0.0043
  -5.000  -0.2101   0.00968   0.00327  -0.0747   0.7619   0.0047
  -4.750  -0.1832   0.00947   0.00302  -0.0747   0.7590   0.0053
  -4.500  -0.1563   0.00924   0.00277  -0.0746   0.7562   0.0072
  -4.250  -0.1291   0.00904   0.00257  -0.0747   0.7536   0.0113
  -4.000  -0.1022   0.00876   0.00235  -0.0747   0.7507   0.0261
  -3.750  -0.0754   0.00848   0.00217  -0.0748   0.7475   0.0502
  -3.500  -0.0496   0.00803   0.00195  -0.0748   0.7444   0.1114
  -3.250  -0.0246   0.00743   0.00173  -0.0748   0.7415   0.2139
  -3.000   0.0019   0.00701   0.00158  -0.0750   0.7387   0.2908
  -2.750   0.0288   0.00662   0.00144  -0.0752   0.7357   0.3674
  -2.500   0.0564   0.00636   0.00134  -0.0754   0.7326   0.4207
  -2.250   0.0842   0.00615   0.00125  -0.0756   0.7295   0.4694
  -2.000   0.1120   0.00597   0.00118  -0.0759   0.7264   0.5133
  -1.750   0.1401   0.00577   0.00113  -0.0761   0.7230   0.5615
  -1.500   0.1683   0.00563   0.00110  -0.0763   0.7187   0.6026
  -1.250   0.1966   0.00557   0.00108  -0.0765   0.7142   0.6311
  -1.000   0.2250   0.00554   0.00108  -0.0767   0.7101   0.6524
  -0.750   0.2538   0.00552   0.00109  -0.0769   0.7054   0.6686
  -0.500   0.2823   0.00552   0.00109  -0.0771   0.7005   0.6814
  -0.250   0.3108   0.00554   0.00110  -0.0773   0.6957   0.6914
   0.000   0.3395   0.00555   0.00111  -0.0776   0.6896   0.6999
   0.250   0.3676   0.00558   0.00113  -0.0776   0.6826   0.7079
   0.500   0.3962   0.00560   0.00115  -0.0778   0.6743   0.7159
   0.750   0.4242   0.00564   0.00118  -0.0779   0.6658   0.7236
   1.000   0.4524   0.00568   0.00120  -0.0781   0.6557   0.7291
   1.250   0.4803   0.00573   0.00124  -0.0781   0.6440   0.7334
   1.500   0.5078   0.00580   0.00127  -0.0781   0.6289   0.7376
   1.750   0.5348   0.00591   0.00131  -0.0781   0.6101   0.7414
   2.000   0.5606   0.00607   0.00138  -0.0777   0.5826   0.7447
   2.250   0.5858   0.00628   0.00148  -0.0773   0.5522   0.7482
   2.500   0.6107   0.00652   0.00161  -0.0769   0.5206   0.7523
   2.750   0.6354   0.00681   0.00176  -0.0764   0.4868   0.7565
   3.000   0.6595   0.00709   0.00192  -0.0759   0.4526   0.7601
   3.250   0.6837   0.00738   0.00209  -0.0753   0.4189   0.7634
   3.500   0.7078   0.00768   0.00226  -0.0748   0.3869   0.7664
   3.750   0.7317   0.00800   0.00245  -0.0742   0.3554   0.7693
   4.000   0.7559   0.00830   0.00264  -0.0737   0.3267   0.7718
   4.250   0.7794   0.00861   0.00284  -0.0731   0.2978   0.7743
   4.500   0.8033   0.00889   0.00305  -0.0726   0.2730   0.7768
   4.750   0.8264   0.00923   0.00328  -0.0719   0.2452   0.7796
   5.000   0.8496   0.00956   0.00351  -0.0713   0.2215   0.7823
   5.250   0.8734   0.00985   0.00373  -0.0707   0.2025   0.7850
   5.500   0.8959   0.01020   0.00399  -0.0700   0.1801   0.7875
   5.750   0.9188   0.01051   0.00424  -0.0693   0.1615   0.7901
   6.000   0.9416   0.01082   0.00450  -0.0685   0.1455   0.7928
   6.250   0.9631   0.01121   0.00480  -0.0676   0.1257   0.7958
   6.500   0.9851   0.01155   0.00509  -0.0668   0.1103   0.7989
   6.750   1.0071   0.01189   0.00539  -0.0660   0.0980   0.8016
   7.000   1.0283   0.01224   0.00571  -0.0650   0.0858   0.8044
   7.250   1.0487   0.01263   0.00606  -0.0639   0.0732   0.8076
   7.500   1.0687   0.01302   0.00642  -0.0627   0.0624   0.8112
   7.750   1.0887   0.01340   0.00678  -0.0615   0.0539   0.8146
   8.000   1.1066   0.01377   0.00715  -0.0600   0.0459   0.8180
   8.250   1.1228   0.01420   0.00756  -0.0581   0.0376   0.8220
   8.500   1.1388   0.01467   0.00801  -0.0563   0.0306   0.8266
   8.750   1.1548   0.01515   0.00847  -0.0544   0.0247   0.8309
   9.000   1.1712   0.01561   0.00895  -0.0528   0.0203   0.8356
   9.250   1.1869   0.01611   0.00946  -0.0510   0.0168   0.8408
   9.500   1.2039   0.01655   0.00993  -0.0495   0.0151   0.8460
   9.750   1.2193   0.01706   0.01050  -0.0478   0.0130   0.8524
