  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-412 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.750  -0.8332   0.05739   0.05518  -0.0594   1.0000   0.0096
 -13.500  -0.8907   0.04486   0.04227  -0.0685   1.0000   0.0093
 -13.250  -0.8936   0.04150   0.03881  -0.0705   1.0000   0.0094
 -13.000  -0.8927   0.03894   0.03617  -0.0719   1.0000   0.0096
 -12.750  -0.8963   0.03612   0.03323  -0.0729   1.0000   0.0097
 -12.500  -0.9050   0.03317   0.03012  -0.0730   1.0000   0.0098
 -12.250  -0.9157   0.03072   0.02751  -0.0716   1.0000   0.0098
 -12.000  -0.9173   0.02939   0.02608  -0.0696   1.0000   0.0100
 -11.750  -0.9115   0.02803   0.02460  -0.0681   1.0000   0.0102
 -11.500  -0.9026   0.02683   0.02329  -0.0666   1.0000   0.0104
 -11.250  -0.8924   0.02570   0.02204  -0.0651   1.0000   0.0107
 -11.000  -0.8822   0.02458   0.02079  -0.0633   1.0000   0.0109
 -10.750  -0.8725   0.02361   0.01970  -0.0612   1.0000   0.0111
 -10.500  -0.8409   0.02256   0.01850  -0.0633   0.9978   0.0113
 -10.250  -0.8160   0.01952   0.01514  -0.0655   0.9936   0.0118
 -10.000  -0.7856   0.01860   0.01416  -0.0671   0.9893   0.0122
  -9.750  -0.7529   0.01790   0.01341  -0.0689   0.9857   0.0126
  -9.500  -0.7189   0.01725   0.01268  -0.0709   0.9828   0.0131
  -9.250  -0.6880   0.01646   0.01180  -0.0723   0.9762   0.0136
  -9.000  -0.6536   0.01579   0.01105  -0.0742   0.9712   0.0142
  -8.750  -0.6209   0.01530   0.01048  -0.0756   0.9620   0.0146
  -8.500  -0.5925   0.01400   0.00903  -0.0767   0.9498   0.0154
  -8.250  -0.5647   0.01353   0.00852  -0.0771   0.9361   0.0161
  -8.000  -0.5387   0.01316   0.00807  -0.0770   0.9231   0.0167
  -7.750  -0.5134   0.01278   0.00761  -0.0767   0.9110   0.0174
  -7.500  -0.4880   0.01241   0.00715  -0.0764   0.8997   0.0181
  -7.250  -0.4620   0.01211   0.00677  -0.0762   0.8898   0.0186
  -6.750  -0.4122   0.01098   0.00550  -0.0757   0.8701   0.0206
  -6.500  -0.3856   0.01072   0.00519  -0.0756   0.8613   0.0216
  -6.250  -0.3589   0.01045   0.00485  -0.0755   0.8523   0.0227
  -6.000  -0.3317   0.01022   0.00456  -0.0755   0.8442   0.0235
  -5.750  -0.3054   0.00975   0.00401  -0.0754   0.8357   0.0249
  -5.500  -0.2782   0.00945   0.00368  -0.0754   0.8275   0.0268
