  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.750  -1.3543   0.09065   0.08669  -0.0171   1.0000   0.0219
 -19.500  -1.3750   0.08409   0.08002  -0.0201   1.0000   0.0221
 -19.250  -1.3937   0.07786   0.07368  -0.0228   1.0000   0.0222
 -19.000  -1.4104   0.07207   0.06778  -0.0252   1.0000   0.0224
 -18.750  -1.4243   0.06680   0.06240  -0.0274   1.0000   0.0226
 -18.500  -1.4358   0.06191   0.05741  -0.0293   1.0000   0.0228
 -18.250  -1.4446   0.05753   0.05294  -0.0309   1.0000   0.0230
 -18.000  -1.4512   0.05351   0.04882  -0.0323   1.0000   0.0232
 -17.750  -1.4556   0.04987   0.04508  -0.0334   1.0000   0.0234
 -17.500  -1.4581   0.04656   0.04169  -0.0343   1.0000   0.0236
 -17.250  -1.4587   0.04357   0.03861  -0.0350   1.0000   0.0238
 -17.000  -1.4571   0.04090   0.03586  -0.0355   1.0000   0.0241
 -16.750  -1.4540   0.03847   0.03335  -0.0358   1.0000   0.0244
 -16.500  -1.4492   0.03632   0.03112  -0.0359   1.0000   0.0247
 -16.250  -1.4433   0.03433   0.02905  -0.0358   1.0000   0.0249
 -16.000  -1.4363   0.03253   0.02718  -0.0356   1.0000   0.0252
 -15.750  -1.4281   0.03091   0.02549  -0.0352   1.0000   0.0254
 -15.500  -1.4197   0.02938   0.02389  -0.0347   1.0000   0.0256
 -15.250  -1.4134   0.02775   0.02220  -0.0338   1.0000   0.0260
 -15.000  -1.4052   0.02637   0.02077  -0.0329   1.0000   0.0264
 -14.750  -1.3952   0.02518   0.01953  -0.0318   1.0000   0.0268
 -14.500  -1.3841   0.02413   0.01843  -0.0307   1.0000   0.0272
 -14.250  -1.3720   0.02319   0.01745  -0.0295   1.0000   0.0275
 -14.000  -1.3591   0.02235   0.01656  -0.0282   1.0000   0.0280
 -13.750  -1.3454   0.02160   0.01576  -0.0269   1.0000   0.0284
 -13.500  -1.3311   0.02091   0.01502  -0.0255   1.0000   0.0287
 -13.250  -1.3164   0.02027   0.01434  -0.0240   1.0000   0.0291
 -13.000  -1.3009   0.01970   0.01372  -0.0225   1.0000   0.0294
 -12.750  -1.2865   0.01911   0.01309  -0.0208   1.0000   0.0298
 -12.500  -1.2728   0.01852   0.01248  -0.0188   1.0000   0.0304
 -12.250  -1.2588   0.01802   0.01194  -0.0168   1.0000   0.0309
 -12.000  -1.2438   0.01756   0.01146  -0.0148   1.0000   0.0314
 -11.750  -1.2266   0.01713   0.01101  -0.0132   1.0000   0.0320
 -11.500  -1.2089   0.01673   0.01059  -0.0116   1.0000   0.0326
 -11.250  -1.1912   0.01636   0.01020  -0.0100   1.0000   0.0333
 -11.000  -1.1738   0.01603   0.00983  -0.0082   1.0000   0.0338
 -10.750  -1.1575   0.01567   0.00946  -0.0062   1.0000   0.0345
 -10.500  -1.1416   0.01532   0.00909  -0.0040   1.0000   0.0354
 -10.250  -1.1258   0.01499   0.00876  -0.0019   1.0000   0.0363
 -10.000  -1.0962   0.01460   0.00836  -0.0026   0.9983   0.0375
  -9.750  -1.0659   0.01424   0.00799  -0.0034   0.9963   0.0387
  -9.500  -1.0354   0.01385   0.00761  -0.0043   0.9945   0.0405
  -9.250  -1.0040   0.01348   0.00724  -0.0054   0.9930   0.0429
  -9.000  -0.9750   0.01314   0.00691  -0.0059   0.9900   0.0454
  -8.750  -0.9454   0.01277   0.00657  -0.0065   0.9868   0.0486
  -8.500  -0.9149   0.01245   0.00625  -0.0073   0.9836   0.0519
  -8.250  -0.8847   0.01211   0.00594  -0.0080   0.9802   0.0563
  -8.000  -0.8575   0.01180   0.00566  -0.0080   0.9743   0.0607
  -7.750  -0.8278   0.01152   0.00539  -0.0085   0.9694   0.0655
  -7.500  -0.8013   0.01121   0.00512  -0.0084   0.9625   0.0712
  -7.250  -0.7739   0.01094   0.00487  -0.0083   0.9553   0.0769
  -7.000  -0.7478   0.01069   0.00464  -0.0080   0.9468   0.0830
  -6.750  -0.7217   0.01043   0.00439  -0.0076   0.9378   0.0894
  -6.500  -0.6958   0.01022   0.00419  -0.0072   0.9271   0.0952
  -6.250  -0.6703   0.00998   0.00397  -0.0067   0.9162   0.1028
  -6.000  -0.6445   0.00978   0.00377  -0.0062   0.9038   0.1102
  -5.750  -0.6185   0.00959   0.00358  -0.0058   0.8904   0.1185
  -5.500  -0.5927   0.00938   0.00339  -0.0053   0.8765   0.1291
  -5.250  -0.5668   0.00918   0.00320  -0.0049   0.8619   0.1407
  -5.000  -0.5406   0.00902   0.00303  -0.0045   0.8466   0.1517
  -4.750  -0.5144   0.00886   0.00287  -0.0041   0.8304   0.1643
  -4.500  -0.4886   0.00865   0.00270  -0.0037   0.8134   0.1826
  -4.250  -0.4625   0.00847   0.00255  -0.0033   0.7959   0.2016
  -4.000  -0.4362   0.00832   0.00241  -0.0029   0.7778   0.2190
  -3.750  -0.4095   0.00820   0.00229  -0.0026   0.7592   0.2338
