  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 66-210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.750  -0.5948   0.04229   0.03996  -0.0636   0.9702   0.0095
  -8.500  -0.5944   0.03780   0.03518  -0.0631   0.9554   0.0090
  -8.250  -0.5981   0.03189   0.02883  -0.0597   0.9415   0.0091
  -8.000  -0.6200   0.02163   0.01747  -0.0531   0.9274   0.0097
  -7.750  -0.6022   0.02020   0.01586  -0.0520   0.9206   0.0101
  -7.500  -0.5806   0.01953   0.01506  -0.0513   0.9152   0.0105
  -7.250  -0.5581   0.01882   0.01424  -0.0508   0.9099   0.0109
  -7.000  -0.5362   0.01756   0.01278  -0.0500   0.9047   0.0113
  -6.750  -0.5135   0.01629   0.01130  -0.0493   0.9001   0.0119
  -6.500  -0.4893   0.01532   0.01019  -0.0488   0.8955   0.0126
  -6.250  -0.4640   0.01494   0.00971  -0.0485   0.8910   0.0132
  -6.000  -0.4417   0.01320   0.00776  -0.0476   0.8867   0.0141
  -5.750  -0.4175   0.01246   0.00697  -0.0472   0.8824   0.0148
  -5.500  -0.3924   0.01200   0.00647  -0.0469   0.8780   0.0154
  -5.250  -0.3674   0.01152   0.00593  -0.0466   0.8741   0.0162
  -5.000  -0.3422   0.01109   0.00545  -0.0462   0.8704   0.0171
  -4.750  -0.3163   0.01077   0.00508  -0.0461   0.8666   0.0181
  -4.500  -0.2895   0.01062   0.00491  -0.0460   0.8629   0.0188
  -4.250  -0.2674   0.00973   0.00392  -0.0451   0.8592   0.0199
  -4.000  -0.2428   0.00923   0.00337  -0.0447   0.8558   0.0215
  -3.750  -0.2166   0.00896   0.00308  -0.0446   0.8522   0.0230
  -3.500  -0.1900   0.00874   0.00284  -0.0445   0.8486   0.0251
